,identificador,fecha_prestamo,estado_prestamo,riesgo_prestamo,clasificacion_estado_prestamo,duracion_prestamo_meses,grado,sub_grado,grado_codificado,sub_grado_codificado,estado_verificacion,estado_verificacion_imputado,estado_verificacion_binario,estado_direccion,regiones_direccion,prestamo_aceptado_EUR,interes_prestamo,pago_mensual_EUR,pago_efectuado_EUR,interes_prestamo_imputado,duracion_prestamo_meses_imputado,pago_mensual_imputado_EUR,pago_efectuado_imputado_EUR,prestamo_aceptado_USD,pago_mensual_USD,pago_efectuado_USD,pago_mensual_imputado_USD,pago_efectuado_imputado_USD,prestamo_aceptado_USD_imputado,pago_mensual_USD_imputado,pago_efectuado_USD_imputado,pago_mensual_imputado_USD_imputado,pago_efectuado_imputado_USD_imputado
0,373332,10,Current,Bajo,Positivo,36,E,E1,4,20,Not Verified,Not Verified,Negativo,CA,west,9950,18.25,360.97,1072.82,18.25,36,360.9654176,1072.82,10953.92707,397.3908597,1181.064527,397.385815,1181.064527,10953.92707,397.3908597,1181.064527,397.385815,1181.064527
1,575239,10,Current,Bajo,Positivo,60,E,E5,4,24,Verified,Verified,Positivo,MD,south,12000,20.99,324.58,959.75,20.99,60,324.5728182,959.75,13210.76632,357.3292109,1056.586081,357.3213045,1056.586081,13210.76632,357.3292109,1056.586081,357.3213045,1056.586081
2,707689,2,Current,Bajo,Positivo,36,C,C3,2,12,Verified,Verified,Positivo,ENE,RNE,10000,13.66,340.13,3726.25,13.66,36,340.1272742,3726.25,11205.36089,381.1279399,4175.397601,381.1248856,4175.397601,11205.36089,381.1279399,4175.397601,381.1248856,4175.397601
3,709828,10,Current,Bajo,Positivo,60,B,B1,1,5,Not Verified,Not Verified,Negativo,PA,east,27200,8.180455682,553.87,,8.180455682,60,553.87,3123.30965,29944.40365,609.7539283,,609.7539283,3438.442826,29944.40365,609.7539283,,609.7539283,3438.442826
4,849994,3,No especificado,No especificado,Negativo,36,B,B5,1,9,Not Verified,Not Verified,Negativo,CA,west,11400,11.53015728,376.09,3753.6,11.53015728,36,376.09,3753.6,12346.48068,407.3147297,4065.241217,407.3147297,4065.241217,12346.48068,407.3147297,4065.241217,407.3147297,4065.241217
5,1312426,4,Current,Bajo,Positivo,60,D,D1,3,15,Source Verified,Source Verified,Positivo,NY,east,15000,15.61,361.67,2880.35,15.61,60,361.6698621,2880.35,16671.48292,401.9716819,3201.313722,401.9715286,3201.313722,16671.48292,401.9716819,3201.313722,401.9715286,3201.313722
6,4526500,4,Current,Bajo,Positivo,36,A,A1,0,0,Source Verified,Source Verified,Positivo,NC,south,10800,5.931126948,328.22,2950.42,5.931126948,36,328.22,2950.42,12003.4677,364.7942749,3279.191776,364.7942749,3279.191776,12003.4677,364.7942749,3279.191776,364.7942749,3279.191776
7,6736790,1,Current,Bajo,Positivo,60,B,B1,1,5,Verified,Verified,Positivo,CA,west,18000,8.670675769,370.78,4432.02,8.670675769,60,370.78,4432.02,20318.31908,418.5347972,5002.844252,418.5347972,5002.844252,20318.31908,418.5347972,5002.844252,418.5347972,5002.844252
8,8138291,2,Charged Off,Alto,Negativo,60,F,F1,5,25,Verified,Verified,Positivo,NY,east,10350,22.99,291.72,1432.16,22.99,60,291.7119141,1432.16,11597.54852,326.8827879,1604.786965,326.8737273,1604.786965,11597.54852,326.8827879,1604.786965,326.8737273,1604.786965
9,8214572,2,Fully Paid,Bajo,Positivo,36,C,C1,2,10,Source Verified,Source Verified,Positivo,TN,south,7000,12.39112529,233.81,7300.41,12.39112529,36,233.81,7300.41,7843.752623,261.992543,8180.372869,261.992543,8180.372869,7843.752623,261.992543,8180.372869,261.992543,8180.372869
